CD38,CD3,CD45,CD4,CD8,HLA,Ki67,NFAT1,Distance
-1.051874216,-0.31726066,-0.784323899,0.639872135,-1.869640405,-0.363275061,-0.504126111,0.010573017,0.638419034
-0.747788976,-1.689215899,-1.129402167,0.375686985,0.381591428,-1.016227313,-0.447175646,0.5282547,-0.113801078
-0.334695406,-1.209340643,-0.273325304,-0.263425733,0.254081843,-0.405028716,-1.418632991,0.555581954,-0.05615462
0.42772297,-1.083824412,-0.151447602,0.654079296,0.424927103,0.721627343,-0.366246552,-0.255023063,-1.725802761
-0.687205889,0.11016764,-0.352192434,-0.705735324,0.553779513,-1.460667616,-0.946146165,-0.598542433,-1.208354334
-0.295775143,0.351061146,2.437901013,-0.71325351,1.059340598,-0.762228027,-3.445982163,-0.722133933,0.875667094
-1.121966206,-1.771088351,-1.054906838,0.115819623,0.213328015,-0.819500685,-1.752019742,-0.950852036,0.640699988
-1.075731549,-0.860411894,-0.802915457,0.335364897,0.284239339,-0.460477252,-0.904030815,-0.260966563,0.093177853
-2.41534658,-0.802956176,-1.149671955,-0.312933632,0.497946318,-1.108680213,-0.14241763,-0.194331877,0.523875528
-1.176366764,-1.294006561,-1.055014723,-1.451410034,0.308646424,-1.275518529,-0.78236715,-1.121939797,0.67218276
-0.946011873,-1.258337603,-1.746188668,-0.610343425,0.281022033,-0.916062195,-0.456952418,-1.520372593,0.842251556
-1.048120196,-1.180298518,-0.654506827,-0.031256456,0.399208298,-0.576212856,-1.28429416,-0.774694076,0.818916859
-1.137984548,0.439115355,-0.160695323,-0.359358587,0.53705414,-1.250907667,-0.985993436,-0.81275732,0.450518978
-0.629522124,-0.572513037,-1.116475804,-0.405466217,0.63030799,-0.356321083,-1.929966275,-1.006284305,0.481737615
-1.280746062,-0.33027357,-0.649741657,0.625535576,0.459834934,-0.882216453,-0.327916871,0.286337758,0.483304617
-1.463338932,-1.374632743,-0.543896327,0.180550661,0.206074478,0.344889558,0.110376227,-0.624634546,-0.085442552
-1.064301313,-0.702636248,-0.191697246,0.24061275,0.539276669,-0.158382371,-0.790290224,-0.384871174,0.159905969
-1.148134577,-0.653538736,-1.127718275,0.258250827,0.445337374,-0.652076399,-1.309089885,-1.224220291,0.541989024
-0.57658725,-1.469534219,-1.749445288,0.505865016,-1.318661866,-0.940608925,-0.752870951,-0.348665686,-0.122506832
-0.847643021,-1.048350919,-0.131978762,0.794384875,-0.871983968,0.339654797,0.174913466,3.070703146,-0.519259395
-2.067618807,-0.942700939,-0.240249837,0.968040742,-0.514404925,-2.613551893,-1.677275987,-0.525518751,0.551753519
-1.004449868,-1.077479933,-0.82076744,0.635443749,-2.241868137,-0.312008482,-0.090221164,0.529928158,0.691216922
-1.492749816,-2.038309377,-1.412839585,-0.073758999,-0.529214769,-1.222880601,-1.42998392,-1.783101009,0.429095548
-1.053585133,-0.660137112,-0.193444947,0.777334634,-1.95559729,0.187706278,-0.746426715,1.546019074,0.646553117
-1.725036963,-0.741474478,-0.774994234,0.592606919,-2.17409363,-0.114648822,-1.398355382,-0.166548251,0.534342664
-0.096775574,-2.04171175,-0.429082815,0.521939045,-1.077923392,-0.517886766,-0.189229878,-0.871860786,0.584611177
-0.79277072,-1.333743118,-1.567904166,0.909597645,-0.403661858,-0.864440645,-0.23614615,-1.322689233,0.513601082
1.735406883,0.512536029,0.854759031,0.616971148,0.940970349,-0.682871467,1.327585931,0.528722043,-0.91500306
-0.554227147,0.038776569,-0.291164107,-0.612039268,0.559726229,-0.5354675,-0.25640064,-1.329684938,0.342810618
0.213501868,-0.107206443,0.180963152,-0.071321269,0.743805435,-0.228432306,-0.006882807,1.721282581,0.273123112
-0.759667907,-0.271533379,-0.04604597,-0.873385181,0.607577068,-0.860109375,-0.507149988,1.545314289,0.449309312
-1.301290572,-0.881193626,-0.632444033,-0.6284441,0.517078092,-0.979306424,-1.432099032,0.596261268,0.616524224
-1.002110958,-0.849476923,-0.671193185,0.296026763,0.395193784,-0.026820106,-1.553242671,0.565998962,0.710502704
-0.000950659,-1.698064621,-1.394944843,-0.498839844,0.172496564,-0.912375494,-0.715802593,-1.379146617,0.740404645
0.051329902,1.291266735,0.641481332,0.335804478,1.025551347,-0.264028269,-0.300832039,0.751448247,0.738565192
-1.410661849,-0.001707086,0.163402206,-0.595062659,0.651423539,-0.719501823,-1.717152931,-0.861419384,0.649743905
-0.453049966,-0.645940783,-0.454935725,0.853706572,-0.598254147,-0.408028765,-1.023921078,-0.706769956,0.797838415
-0.945560352,-1.88316777,-0.748437592,-0.058326398,0.279601905,-0.245792791,-1.904824121,-1.131137516,0.697259253
-0.371243885,-1.271150623,-0.933508828,0.130297076,-2.735616337,-0.074015461,-0.343803271,-1.758206936,0.580818267
-1.297030807,-1.749818076,0.167182661,0.716356736,-0.129798561,0.071497924,-1.446306323,-0.800800237,0.89930182
-1.585050012,-0.990058533,0.229896227,0.400761599,0.582621917,-0.295988357,-2.81591104,-0.861299022,0.902605997
-1.185107125,-1.654432867,-0.526409131,0.865813362,-1.976627337,-0.874120999,-1.526204722,0.346801987,0.75900078
0.686117561,0.152524719,0.945646813,0.47784073,0.986363636,-1.153070491,0.854679929,-0.459262726,-1.61924659
1.771539229,-1.483365709,0.221216723,0.47753353,0.458288376,-1.780822477,0.78611571,0.424971259,-1.826554322
0.323777608,-1.466366038,-1.004917541,1.110722939,0.357135957,-1.824389944,0.406061804,-1.101120738,-1.934395364
1.079859369,0.336857285,-0.002847195,-0.261785649,0.817795574,-0.775378438,0.447642358,-0.39140762,0.498319989
0.731897869,-0.412861374,-1.558566957,-1.336258131,0.756139219,-1.100105682,-0.223070756,-0.446398419,0.692574931
1.017812744,1.018239788,1.282729871,-0.929996642,0.826523425,-0.476837451,-0.422653458,-0.521392848,0.622607276
1.385067509,-1.311783711,-2.262123563,-1.32035263,0.582979487,-1.136727857,-0.014387109,0.381481673,0.214048991
1.120811666,-1.040804463,-0.154090075,-1.525700671,0.601065463,-0.565792398,0.573041695,-0.65360479,0.376712935
1.04800049,-0.275622483,-1.083339791,-2.079803984,0.649842853,-1.18641541,0.929695513,-0.830668124,0.667736388
1.350118282,0.307778453,-1.577788419,-1.169074397,0.855116449,-1.386434016,0.256790003,-1.143996803,0.762065963
0.738214779,-1.372355514,-1.626516367,-1.309648264,0.485634884,-0.659853101,0.173207403,-1.036864925,0.674361576
-0.964909122,-1.250294861,-0.480980289,-2.98764309,0.628490485,-2.299432375,-1.35699718,-1.319534305,0.629609148
0.801114633,0.718997063,-0.921151228,0.55865654,0.172597723,0.608811038,0.690540669,0.806636692,0.705238026
0.46657354,-0.53851823,-0.788853144,0.551001396,-1.894453082,-0.905717655,-0.784879066,-0.783844863,0.646885185
-0.002814058,0.416955711,-0.689082227,-1.602551563,0.184101926,-0.814446338,-1.838038571,-0.497019635,0.51746751
0.341098077,-0.411995774,-1.087385618,0.331613331,-1.740009197,-0.567055099,-0.028631104,-0.91302807,0.233127663
1.405986817,-0.22584912,-0.919084937,0.192149867,-1.747212266,-0.035008875,1.076314511,-1.109053589,0.761329899
1.387353973,1.409538261,1.516325991,-1.300199964,1.207116008,-1.025787757,-0.911989289,-0.661373726,0.724368762
0.721583451,0.640689141,0.007468962,-0.454528887,0.959393553,-0.930698251,-0.049258727,-0.390367981,-0.750047819
0.387541075,-0.249610057,-0.636820284,-0.014612228,0.839252051,-0.650513029,0.496759972,-0.459983648,-1.354670633
0.654018453,0.914268176,-1.286916552,-0.898467327,0.838926677,-1.205874043,-0.297198924,1.229683306,0.755167075
0.794238518,0.190479655,-0.596587603,-0.764531814,0.746718173,0.141278418,-0.303107069,-0.750783412,0.393127371
